number,weight,nonce,hash,fee_reward,total_transactions
590907,923924,1750088739,21,800,767
590908,3993365,2366550764,19,5475,2905
590909,3993393,3529923164,20,1450,2147
590910,3993176,3897552924,24,7484,2666
590911,3993091,501288228,24,6577,2288
590912,3993374,2849907242,23,2404,2867
590913,3993198,3811443693,20,3378,2873
590914,2854776,1573510607,26,712,2145
590915,3993019,3436394068,21,3604,2504
590916,3190675,135466685,21,1864,2534
590917,3993361,1492583508,26,5981,3029
590918,3993199,1677429620,20,4336,2711
590919,3993278,2530503624,21,2170,1606
590920,3993257,368521801,24,2183,2735
590921,2916845,1706754820,22,1038,2007
590922,403241,4013506266,22,323,283
590923,3600945,1450634585,23,2941,2564
590924,3993442,4128025228,20,7197,2869
590925,3993262,2534019481,23,5147,3088
590926,3992700,1357236323,24,2752,2625
590927,3993254,2769945864,24,2005,1584
590928,3993413,2841309507,25,4195,2986
590929,3993321,3509970161,21,1194,2768
590930,2712085,3466952546,24,1176,1868
590931,3993344,1112049723,19,3618,2956
590932,3993378,1683515302,20,3039,3004
590933,889617,3316089022,27,493,571
590934,3992988,1720211770,23,5361,2925
590935,3992838,3777282829,22,3944,2724
590936,3993341,3805508361,24,5138,2579
590937,3992883,87483558,25,2068,2660
590938,3385729,1011308669,25,258,2286
590939,3998487,1130791572,21,3394,2800
590940,3706668,1681679042,22,2582,2431
590941,3998652,235773857,22,7294,3621
590942,3993403,2615104318,22,2962,2767
590943,3296014,1093650880,23,1271,2166
590944,3648320,1956155912,20,3134,2671
590945,3992986,3644064564,22,5190,2568
590946,1898603,2216801919,24,134,1160
590947,3019566,2175909746,23,2529,2210
590948,1763354,2322204756,22,1676,1449
590949,3393300,264642733,22,2798,2411
590950,1697057,2597995465,26,1459,1174
590951,3993295,795455548,23,3256,2503
590952,3993173,3657221468,25,2776,3011
590953,3998619,2610211408,23,3330,2898
590954,543985,148546348,25,68,362
590955,3993336,1517309680,23,3398,2971
590956,3992824,1356082207,22,5276,2632
590957,3993373,953959452,21,5775,2818
590958,3993283,3476866975,23,2771,2259
590959,3993188,869976124,23,1434,2455
590960,3998446,3361536462,23,10322,1375
590961,3993442,4263139728,23,5368,1168
590962,3993374,2766024075,21,4166,2376
590963,3993113,464171297,24,7178,3155
590964,3993209,2353624161,24,5611,2817
590965,3993585,2947423068,24,3816,1084
590966,3993520,2981118893,23,3160,2388
590967,3993248,1818401244,24,5015,3308
590968,3993393,3755119454,25,3465,2491
590969,3998560,1566637890,26,4845,3048
590970,3993219,3223455188,21,1709,2179
590971,3993063,1414832920,22,1274,1358
590972,3992928,3356352689,20,7207,2499
590973,3993451,46655572,21,5113,2933
590974,3993005,1683386116,20,5280,2662
590975,3993114,74480447,22,4568,2660
590976,3993071,2244457792,23,2282,2286
590977,3993309,2630978120,24,3852,2844
590978,3993164,3607322968,24,5950,2487
590979,3993380,3452457929,22,3535,2021
590980,3993063,2491045441,23,3914,2686
590981,3993289,53275413,23,1056,1227
590982,3993236,1086220696,26,2246,1411
590983,3993230,3519130626,23,4010,2129
590984,3993329,1446448929,25,1755,1191
590985,3993293,2533650852,23,5837,2839
590986,3993535,2733866012,24,3782,2283
590987,3993537,2729846310,22,4381,2306
590988,3993209,587461788,24,3890,2456
590989,3993583,760889220,24,686,2232
590990,3992981,3257168192,23,6483,2522
590991,3993230,3653635292,21,5887,2705
590992,3993553,1128045848,23,8063,2599
590993,3993456,892217729,20,5766,888
590994,3992964,650953960,23,4873,3361
590995,3993117,2539860144,22,5249,3132
590996,3998732,1778542212,24,5479,3451
590997,3993064,97410357,24,4332,1979
590998,3998239,3724005996,24,4051,2926
590999,3993382,1333018369,23,4700,2649
591000,3993368,3257994672,20,4598,3105
591001,3993262,2950808462,20,3973,2894
591002,3993352,3528720822,22,5845,2972
591003,3998607,43542304,22,2256,2308
591004,3993297,3698632554,23,3505,2175
591005,3993388,2667116241,22,6021,2932
591006,3993376,56181812,25,6171,2217
591007,3993223,1566815559,22,5516,2461
591008,3993389,1445993122,23,4343,1782
591009,3993419,2418256022,22,3371,2547
591010,3993250,3286001746,23,2998,2152
591011,3993377,542436278,22,5102,2216
591012,3992939,1775445517,22,4140,2231
591013,3993227,196420672,22,3385,1838
591014,3992874,1960237899,22,1377,2249
591015,3993406,1939300545,23,2356,1932
591016,3993415,1996659243,20,3998,1938
591017,3993190,2465532045,20,4790,2545
591018,3993145,1197273319,21,287,1991
591019,3993499,1290653651,24,3266,1890
591020,3993522,798535437,21,3923,2342
591021,3993208,1486919644,22,2247,1017
591022,3993150,1379101124,21,3345,2024
591023,3993121,1590703209,24,1744,786
591024,3993022,386790482,23,2808,2220
591025,3998346,2805175205,23,1122,1334
591026,3963186,2771556221,22,1736,1958
591027,950191,3437476147,21,1045,469
